Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
30.95,0.0669,0.6580,-0.8083,-0.35,0.84,-0.42
31.06,0.0759,0.6604,-0.8086,-0.20,0.78,-0.15
31.16,0.0740,0.6714,-0.8225,-0.03,0.48,-0.47
31.27,0.0688,0.6584,-0.8040,-0.18,0.65,-0.40
31.37,0.0693,0.6672,-0.8110,-0.05,0.72,-0.50
31.48,0.0706,0.6567,-0.8049,-1.93,0.60,-0.42
31.58,0.0681,0.6423,-0.8118,-0.11,0.62,-0.34
31.69,0.0713,0.6602,-0.8232,-0.26,0.44,-0.43
31.79,0.0769,0.6411,-0.8113,-0.02,0.55,-0.21
31.90,0.0769,0.6709,-0.8035,-0.18,0.34,-0.37
32.00,0.0674,0.6416,-0.8230,-0.11,0.32,-0.32
32.11,0.0503,0.6687,-0.8101,-0.20,0.42,-0.47
32.22,0.0688,0.6489,-0.8054,-0.27,0.85,-0.28
32.32,0.0715,0.6440,-0.8074,-0.23,0.64,-0.16
32.43,0.0742,0.6685,-0.7979,-0.05,0.67,-0.37
32.53,0.0696,0.6575,-0.8152,-0.05,0.56,-0.41
32.64,0.0764,0.6548,-0.8103,-0.23,0.37,-0.42
32.74,0.0696,0.6541,-0.8103,-0.20,0.35,-0.47
32.85,0.0745,0.6543,-0.8013,-0.32,0.71,-0.27
32.95,0.0684,0.6572,-0.8059,-0.13,0.53,-0.37
33.06,0.0771,0.6560,-0.8076,-0.23,0.56,-0.45
33.17,0.0725,0.6528,-0.8049,-0.11,0.48,-0.47
33.27,0.0730,0.6580,-0.8037,-0.05,0.62,-0.26
33.38,0.0664,0.6602,-0.8062,-0.26,0.66,-0.37
33.48,0.0728,0.6587,-0.8052,-0.14,0.90,-0.34
33.59,0.0647,0.6433,-0.8008,-0.23,0.68,-0.53
33.69,0.0688,0.6624,-0.8088,0.04,0.50,-0.44
33.80,0.0701,0.6560,-0.8020,-0.21,0.39,-0.38
33.90,0.0706,0.6511,-0.8003,-0.20,0.77,-0.21
34.01,0.0671,0.6562,-0.8057,-0.24,0.73,-0.24
34.11,0.0681,0.6597,-0.8167,-0.18,0.66,-0.59
34.22,0.0757,0.6550,-0.8108,-0.02,0.60,-0.53
34.33,0.0701,0.6511,-0.7949,1.92,0.63,-0.29
34.43,0.0657,0.6572,-0.8013,-0.07,0.57,-0.31
34.54,0.0730,0.6533,-0.8135,-0.30,0.83,-0.18
34.64,0.0696,0.6521,-0.8027,-0.11,0.74,-0.37
34.75,0.0632,0.6672,-0.8062,-0.12,0.78,-0.44
34.85,0.0750,0.6594,-0.8066,-0.18,0.63,-0.39
34.96,0.0740,0.6541,-0.8018,-0.11,0.71,-0.34
35.06,0.0715,0.6584,-0.8035,-0.01,0.57,-0.37
35.17,0.0681,0.6533,-0.8093,-0.05,0.67,-0.37
